Year,NPV
Utility Bills,208006364.27293107
Utility Bills (volumetric),117552745.0114584
Utility Bills (demand),15082095.59197942
Utility Bills (res),172522160.19589245
Utility Bills (work),14862566.10280464
Utility Bills (pub L2),232089.15208382823
Utility Bills (DCFC),20389548.822150126
Incremental upfront vehicle cost,73279360.36045423
Charging infrastructure cost,805569597.6296871
Charging infrastructure cost (res),415560224.57582235
Charging infrastructure cost (work L2),166728679.98101026
Charging infrastructure cost (public L2),100037207.98860618
Charging infrastructure cost (DCFC),123243485.08424821
Avoided vehicle gasoline,2176143788.242034
Vehicle O&M Savings,499651597.2931765
Federal EV Tax Credit,246581824.39981484
Total Energy Supply Cost,57143919.604487345
Energy Cost,47611841.20323005
Generation Capacity Cost,9532078.40125729
Vehicle Sales (NPV),190013.7529923637
Transmission and Distribution Cost,14721780.890033493
Distribution Cost,13517971.57920332
Transmission Cost,1203809.310830173
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
